index,store_ID_x,store_ID_y,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,sales
37194,521,521,1,17/06/2013,484,1,1,0,0,6514
685427,649,649,4,27/11/2014,435,1,1,0,0,4383
125422,1059,1059,2,02/06/2015,1239,1,1,0,0,9936
24499,486,486,6,28/06/2014,373,1,0,0,0,3165
281806,252,252,4,17/10/2013,642,1,0,0,0,7564
540511,656,656,3,15/05/2013,421,1,1,0,0,3443
28689,642,642,5,12/09/2014,394,1,0,0,0,2659
165066,655,655,5,08/05/2015,761,1,1,0,0,9634
555963,992,992,3,26/06/2013,627,1,0,0,0,4451
610614,143,143,2,02/06/2015,731,1,1,0,0,8697
64013,421,421,5,18/07/2014,941,1,1,0,1,8987
30639,246,246,4,02/10/2014,1157,1,1,0,0,9113
418604,960,960,1,28/04/2014,720,1,1,0,0,9475
468037,313,313,5,17/01/2014,697,1,0,0,0,5949
271589,291,291,6,29/06/2013,534,1,0,0,0,5649
77924,924,924,6,31/05/2014,333,1,0,0,0,3556
247149,337,337,2,13/08/2013,430,1,1,0,1,7101
576822,1024,1024,4,12/03/2015,607,1,0,0,0,4273
108538,56,56,3,22/01/2014,402,1,1,0,0,5543
645670,507,507,3,09/04/2014,532,1,0,0,0,6295
601663,970,970,5,15/03/2013,406,1,0,0,0,3311
502588,846,846,2,23/06/2015,828,1,0,0,0,8025
66732,549,549,3,27/08/2014,582,1,0,0,0,4374
627113,1095,1095,4,28/03/2013,852,1,1,0,1,6332
691184,859,859,5,12/04/2013,709,1,1,0,0,7715
467913,914,914,2,29/07/2014,1178,1,1,0,1,11165
304890,888,888,2,23/06/2015,634,1,0,0,0,6275
274018,442,442,2,04/11/2014,517,1,1,0,0,6035
644430,34,34,6,09/03/2013,905,1,0,0,0,6907
669009,199,199,4,10/07/2014,581,1,0,0,0,7213
518722,854,854,4,04/06/2015,657,1,1,a,0,6696
505976,611,611,2,21/01/2014,485,1,1,0,0,6176
291572,808,808,4,09/04/2015,528,1,0,0,1,6133
39071,1105,1105,4,22/01/2015,410,1,0,0,0,3310
319154,866,866,5,24/04/2015,445,1,0,0,0,6082
166603,222,222,6,28/09/2013,367,1,0,0,0,2940
428262,476,476,2,24/09/2013,753,1,1,0,0,7339
20314,800,800,1,26/05/2014,494,1,0,0,0,4746
603091,330,330,1,24/03/2014,408,1,0,0,0,3958
500421,507,507,3,07/01/2015,648,1,1,0,0,9199
388016,98,98,7,02/06/2013,0,0,0,0,0,0
268257,1026,1026,2,28/01/2014,1044,1,0,0,0,6785
216326,990,990,5,04/10/2013,719,1,0,0,0,7590
40755,8,8,6,10/01/2015,345,1,0,0,0,2763
8654,611,611,3,31/07/2013,566,1,1,0,1,7251
37301,257,257,2,13/08/2013,777,1,1,0,0,6646
485623,840,840,4,16/04/2015,1189,1,1,0,0,8472
214073,848,848,5,31/07/2015,998,1,1,0,1,10527
406145,124,124,6,12/07/2014,297,1,0,0,0,2483
397642,1028,1028,2,31/12/2013,438,1,0,0,1,3805
273960,95,95,2,24/09/2013,1099,1,1,0,0,9768
12104,208,208,1,28/10/2013,323,1,0,0,0,1885
361202,249,249,2,08/07/2014,449,1,0,0,0,4106
79347,887,887,3,20/03/2013,614,1,1,0,0,7585
462803,73,73,1,28/04/2014,601,1,1,0,1,6281
141713,13,13,4,02/04/2015,501,1,1,0,1,7140
703618,1049,1049,2,03/09/2013,580,1,0,0,1,3467
308360,144,144,4,05/02/2015,769,1,1,0,0,8406
317995,847,847,3,14/08/2013,1018,1,1,0,1,7538
364408,796,796,3,08/05/2013,717,1,0,0,0,6995
27886,396,396,4,11/06/2015,1139,1,0,0,0,9554
706814,1080,1080,7,15/09/2013,0,0,0,0,0,0
514516,675,675,5,26/09/2014,338,1,0,0,0,3141
577373,1099,1099,1,01/12/2014,1236,1,1,0,0,13291
190561,791,791,1,11/05/2015,858,1,0,0,0,7581
92512,1014,1014,2,24/03/2015,1476,1,0,0,0,11895
565163,487,487,2,04/11/2014,737,1,1,0,0,9136
500246,427,427,3,13/02/2013,701,1,0,0,1,6048
223708,254,254,5,14/11/2014,282,1,1,0,0,3661
555732,43,43,5,31/01/2014,710,1,0,0,0,7479
654150,1074,1074,2,09/06/2015,421,1,0,0,0,4216
558350,549,549,6,29/06/2013,380,1,0,0,0,3472
52167,1095,1095,2,08/01/2013,720,1,1,0,0,5658
296981,295,295,1,28/10/2013,612,1,0,0,1,4315
332143,319,319,1,14/10/2013,863,1,0,0,1,6959
426553,1002,1002,4,10/04/2014,642,1,0,0,0,5521
481847,448,448,6,06/12/2014,544,1,0,0,0,6596
100496,527,527,2,03/09/2013,1046,1,0,0,1,10556
706377,255,255,5,12/04/2013,652,1,1,0,0,6075
599169,581,581,5,04/07/2014,651,1,1,0,0,5859
55294,185,185,6,05/01/2013,550,1,0,0,0,7082
218737,244,244,6,22/11/2014,538,1,0,0,0,4897
266706,1082,1082,6,05/01/2013,877,1,0,0,0,5817
441953,216,216,5,20/03/2015,837,1,1,0,0,7009
127184,350,350,4,05/03/2015,508,1,1,0,0,7205
312223,748,748,1,31/03/2014,822,1,1,0,0,12085
583377,718,718,1,08/12/2014,962,1,0,0,0,8821
523743,739,739,5,21/02/2014,789,1,1,0,0,9616
476775,614,614,7,21/12/2014,0,0,0,0,0,0
620142,673,673,2,18/02/2014,615,1,1,0,0,7750
460092,83,83,1,10/06/2013,367,1,0,0,0,3851
169260,976,976,3,18/09/2013,598,1,0,0,0,5034
177084,637,637,6,06/04/2013,518,1,0,0,0,6519
645354,122,122,2,07/01/2014,714,1,1,0,0,6379
645737,898,898,1,24/11/2014,1013,1,1,0,0,11307
272578,1080,1080,4,26/06/2014,710,1,0,0,0,7955
600374,291,291,1,30/03/2015,1290,1,1,0,0,14505
566038,24,24,4,03/01/2013,711,1,0,0,1,6753
381862,1096,1096,7,18/08/2013,0,0,0,0,0,0
535335,637,637,5,30/05/2014,860,1,0,0,0,10677
499411,1002,1002,2,02/06/2015,850,1,1,0,0,8106
625219,666,666,1,10/03/2014,497,1,0,0,0,4492
61823,1089,1089,7,24/11/2013,0,0,0,0,0,0
653471,334,334,6,31/08/2013,515,1,0,0,0,5018
441789,300,300,6,30/08/2014,951,1,0,0,1,7890
155435,207,207,1,22/09/2014,1166,1,0,0,0,8822
226567,683,683,3,27/05/2015,854,1,0,0,0,8492
107330,1094,1094,2,14/05/2013,394,1,1,0,0,4415
149417,700,700,4,09/07/2015,576,1,0,0,0,4017
191690,959,959,2,26/08/2014,744,1,0,0,0,6329
146544,766,766,7,22/06/2014,0,0,0,0,0,0
383603,1011,1011,6,08/06/2013,977,1,0,0,0,7137
452941,570,570,5,13/12/2013,676,1,0,0,0,4371
629103,685,685,2,10/09/2013,689,1,1,0,0,9421
30258,158,158,3,16/04/2014,681,1,1,0,1,12279
219501,66,66,5,29/05/2015,522,1,0,0,1,6571
528607,76,76,2,30/07/2013,1080,1,1,0,0,11765
397525,572,572,3,16/10/2013,458,1,0,0,0,5674
314281,184,184,6,11/10/2014,510,1,0,0,0,4944
489418,1034,1034,5,06/12/2013,775,1,1,0,0,7027
182776,559,559,7,11/08/2013,0,0,0,0,0,0
335928,862,862,2,23/12/2014,1561,1,0,0,1,13883
198358,171,171,2,11/11/2014,962,1,1,0,0,9635
400219,33,33,7,07/12/2014,0,0,0,0,0,0
427476,936,936,4,27/11/2014,963,1,1,0,0,7781
31892,948,948,2,18/02/2014,1682,1,1,0,0,6595
109374,371,371,6,04/05/2013,551,1,0,0,0,6626
385320,242,242,1,05/05/2014,378,1,1,0,0,3864
517169,133,133,5,17/01/2014,622,1,0,0,0,4613
369733,1031,1031,1,15/12/2014,681,1,1,0,0,9677
71343,850,850,4,07/02/2013,710,1,1,0,0,6228
42363,860,860,5,05/06/2015,833,1,1,0,0,6925
612665,836,836,6,06/07/2013,301,1,0,0,0,2581
428563,965,965,6,30/11/2013,908,1,0,0,0,8862
610249,1096,1096,1,26/01/2015,763,1,1,0,0,7561
669222,504,504,3,03/09/2014,836,1,1,0,1,6146
484348,230,230,1,30/12/2013,1327,1,0,0,1,11766
194089,826,826,1,02/12/2013,1170,1,1,0,0,14749
328888,975,975,2,30/07/2013,767,1,1,0,1,8772
485880,602,602,2,28/10/2014,547,1,0,0,1,5714
699868,953,953,5,19/09/2014,553,1,1,0,0,5509
265929,187,187,6,02/11/2013,491,1,0,0,0,4241
154648,792,792,5,18/10/2013,599,1,0,0,0,5743
376328,1035,1035,4,27/11/2014,744,1,1,0,0,6638
530275,523,523,3,29/07/2015,1515,1,1,0,1,13250
441109,723,723,4,04/04/2013,461,1,0,0,1,4888
26050,1025,1025,7,26/05/2013,0,0,0,0,0,0
247671,18,18,7,04/01/2015,0,0,0,0,0,0
615467,997,997,3,03/09/2014,378,1,1,0,1,5299
267972,400,400,6,05/10/2013,805,1,0,0,0,4891
22318,1047,1047,2,09/07/2013,491,1,0,0,0,3967
430083,819,819,1,02/09/2013,472,1,0,0,0,5104
510014,668,668,1,02/06/2014,1562,1,1,0,0,13950
343803,585,585,4,22/01/2015,666,1,0,0,0,3932
85161,99,99,1,10/03/2014,404,1,0,0,0,4232
505852,965,965,6,22/11/2014,847,1,0,0,0,7702
266131,590,590,4,21/02/2013,376,1,1,0,0,4493
397091,709,709,2,02/06/2015,1682,1,1,0,0,14090
112013,58,58,7,20/10/2013,0,0,0,0,0,0
492019,409,409,7,09/02/2014,0,0,0,0,0,0
73240,850,850,6,04/04/2015,826,1,0,0,0,7490
203948,1058,1058,3,06/03/2013,737,1,1,0,0,7760
603210,1067,1067,7,13/04/2014,0,0,0,0,0,0
82813,777,777,1,21/04/2014,0,0,0,b,1,0
634511,155,155,3,21/05/2014,632,1,1,0,0,6595
28171,598,598,1,29/06/2015,871,1,1,0,0,8249
198571,493,493,2,01/07/2014,902,1,1,0,0,10231
70073,628,628,7,03/08/2014,0,0,0,0,1,0
551321,524,524,1,30/12/2013,1193,1,0,0,1,11540
509286,966,966,4,04/04/2013,585,1,0,0,1,4090
24413,1022,1022,5,27/12/2013,791,1,0,0,1,6999
367168,380,380,3,05/03/2014,1720,1,1,0,0,18675
103724,132,132,3,14/01/2015,579,1,1,0,0,6540
704886,400,400,5,26/06/2015,999,1,0,0,0,6854
568270,988,988,4,29/08/2013,790,1,1,0,0,4937
627934,906,906,2,19/03/2013,1476,1,1,0,0,12834
520091,1028,1028,2,05/11/2013,689,1,1,0,0,6266
505933,1100,1100,6,23/03/2013,484,1,0,0,0,3543
67603,759,759,1,14/01/2013,607,1,0,0,0,4281
96570,223,223,1,27/10/2014,716,1,0,0,0,6165
696883,936,936,7,15/03/2015,0,0,0,0,0,0
216455,780,780,6,11/07/2015,341,1,0,0,0,3028
472114,259,259,5,28/11/2014,2677,1,1,0,0,14786
437836,131,131,6,09/11/2013,582,1,0,0,0,5341
467331,251,251,3,28/01/2015,2241,1,1,0,0,18790
423483,1079,1079,6,17/01/2015,517,1,0,0,0,6125
533535,1003,1003,3,05/03/2014,1029,1,1,0,0,11862
82465,980,980,4,05/09/2013,450,1,0,0,0,4579
245480,654,654,2,27/01/2015,766,1,1,0,0,7656
155723,966,966,4,25/07/2013,517,1,0,0,1,3839
167485,1020,1020,1,22/09/2014,929,1,0,0,0,6960
574217,969,969,3,19/03/2014,610,1,1,0,0,3708
307718,1038,1038,2,07/04/2015,490,1,0,0,1,5111
250666,516,516,3,09/07/2014,453,1,0,0,1,3211
233447,733,733,1,14/01/2013,3171,1,0,0,0,13053
9408,595,595,6,31/05/2014,1881,1,0,0,0,16162
532318,260,260,3,16/07/2014,962,1,1,0,1,6520
213221,768,768,6,02/02/2013,1251,1,0,0,0,11901
149118,940,940,1,14/01/2013,627,1,0,0,0,5309
643815,364,364,4,27/06/2013,563,1,0,0,0,3837
205464,506,506,3,22/07/2015,763,1,0,0,1,5801
172737,671,671,3,29/05/2013,507,1,1,0,1,5320
358803,300,300,6,24/01/2015,862,1,0,0,0,6684
432064,84,84,2,17/06/2014,1563,1,1,0,0,15797
243176,219,219,4,07/05/2015,455,1,1,0,0,3606
165487,934,934,5,22/03/2013,764,1,1,0,0,7992
206630,125,125,3,01/04/2015,1906,1,1,0,1,17715
380228,176,176,3,04/12/2013,757,1,1,0,0,7168
278339,223,223,2,26/11/2013,675,1,0,0,0,6312
125602,326,326,1,14/07/2014,429,1,1,0,0,5936
707930,339,339,2,27/08/2013,745,1,1,0,0,5988
647013,872,872,3,08/04/2015,659,1,0,0,1,5940
404917,579,579,7,23/11/2014,0,0,0,0,0,0
607690,974,974,5,28/02/2014,1599,1,0,0,0,11659
63394,979,979,7,12/04/2015,0,0,0,0,0,0
334403,880,880,3,04/06/2014,806,1,1,0,0,8454
440195,910,910,7,31/03/2013,0,0,0,0,0,0
87636,1084,1084,6,04/07/2015,614,1,0,0,0,5152
189540,92,92,5,12/06/2015,453,1,0,0,0,4924
18218,14,14,6,20/06/2015,402,1,0,0,0,3472
396021,587,587,1,30/12/2013,960,1,0,0,1,13240
442052,230,230,4,24/10/2013,856,1,1,0,0,6462
397202,689,689,6,15/03/2014,589,1,0,0,0,5903
251121,599,599,1,13/05/2013,1096,1,1,0,0,12663
463013,596,596,7,22/12/2013,0,0,0,0,0,0
655331,576,576,1,11/03/2013,749,1,0,0,0,4564
327407,141,141,4,26/06/2014,493,1,0,0,0,3692
355157,751,751,1,21/04/2014,0,0,0,b,1,0
654124,877,877,5,01/03/2013,925,1,0,0,0,6749
602473,375,375,2,23/04/2013,948,1,1,0,0,11551
414480,230,230,1,08/12/2014,988,1,0,0,0,8109
574764,545,545,3,22/01/2014,1087,1,1,0,0,11593
136740,1022,1022,1,04/03/2013,1093,1,1,0,0,10177
240843,597,597,3,20/08/2014,756,1,1,0,1,5573
130323,559,559,7,08/06/2014,0,0,0,0,0,0
688030,1024,1024,6,18/07/2015,825,1,0,0,0,6253
43133,36,36,2,17/03/2015,1205,1,1,0,0,11228
172856,702,702,2,28/05/2013,351,1,1,0,1,4435
446048,623,623,7,10/02/2013,0,0,0,0,0,0
36534,105,105,4,17/10/2013,483,1,0,0,0,2823
612801,902,902,2,19/11/2013,648,1,1,0,0,4807
256750,11,11,6,11/04/2015,786,1,0,0,0,5550
623446,1039,1039,5,28/06/2013,629,1,0,0,0,4390
63314,102,102,1,16/02/2015,1174,1,1,0,0,9354
238452,543,543,5,18/10/2013,175,1,0,0,1,1574
43919,827,827,4,02/01/2014,1910,1,0,0,1,13117
258378,110,110,3,08/10/2014,647,1,1,0,0,5119
59774,945,945,1,05/01/2015,698,1,1,0,1,6292
31637,582,582,3,12/03/2014,749,1,0,0,0,5460
673741,554,554,4,16/01/2014,428,1,0,0,0,3813
659942,486,486,2,08/07/2014,384,1,0,0,1,3259
349639,637,637,6,15/02/2014,520,1,0,0,0,6070
394865,806,806,5,31/01/2014,578,1,0,0,0,7878
255648,887,887,6,21/06/2014,462,1,0,0,0,5315
379128,374,374,6,04/04/2015,668,1,0,0,0,6043
540897,1025,1025,5,04/01/2013,804,1,0,0,1,6643
662220,638,638,2,06/08/2013,431,1,0,0,1,4926
160268,123,123,6,09/05/2015,490,1,0,0,0,3843
654290,905,905,4,19/02/2015,1108,1,1,0,0,7187
599039,536,536,5,05/04/2013,989,1,0,0,1,8317
651027,763,763,7,01/02/2015,0,0,0,0,0,0
553569,191,191,6,10/08/2013,694,1,0,0,0,7119
271750,957,957,4,20/02/2014,948,1,1,0,0,8596
709864,268,268,4,04/06/2015,618,1,1,0,0,5546
300796,654,654,6,07/09/2013,266,1,0,0,0,2426
413674,612,612,6,07/09/2013,388,1,0,0,0,6136
8402,747,747,3,27/08/2014,567,1,0,0,1,5854
310059,656,656,6,18/05/2013,380,1,0,0,0,2860
319105,368,368,5,05/04/2013,592,1,0,0,1,6793
689752,959,959,3,18/09/2013,552,1,0,0,0,4790
516276,329,329,2,03/02/2015,708,1,1,0,0,8410
338342,97,97,3,22/07/2015,535,1,0,0,1,5390
666229,314,314,2,13/08/2013,661,1,1,0,1,6586
8353,463,463,7,11/01/2015,0,0,0,0,0,0
386012,258,258,1,20/05/2013,0,0,0,a,0,0
471619,283,283,3,13/11/2013,621,1,0,0,0,5603
612347,556,556,1,15/04/2013,754,1,0,0,0,5863
514445,388,388,5,24/01/2014,1211,1,1,0,0,11675
396179,67,67,3,03/09/2014,837,1,1,0,1,8611
590638,725,725,5,16/01/2015,677,1,1,0,0,6872
683448,219,219,4,06/06/2013,416,1,1,0,0,3146
218062,1077,1077,2,10/02/2015,479,1,0,0,0,3599
706606,322,322,4,23/05/2013,589,1,0,0,0,4784
453487,814,814,3,20/02/2013,581,1,1,0,1,7225
240904,134,134,7,30/06/2013,0,0,0,0,0,0
326681,54,54,4,11/07/2013,657,1,0,0,0,6927
272937,662,662,5,26/04/2013,854,1,1,0,0,9919
11415,126,126,7,19/04/2015,0,0,0,0,0,0
436957,1001,1001,6,30/11/2013,471,1,0,0,0,3783
171033,657,657,4,13/02/2014,598,1,0,0,0,4196
632521,590,590,4,14/03/2013,319,1,0,0,0,3903
179002,193,193,3,25/12/2013,0,0,0,c,1,0
345971,168,168,6,21/09/2013,465,1,0,0,0,4478
463457,16,16,1,22/07/2013,839,1,0,0,0,6290
674866,244,244,1,04/02/2013,738,1,1,0,0,7961
479231,545,545,7,08/02/2015,0,0,0,0,0,0
369184,1032,1032,6,19/01/2013,492,1,0,0,0,4383
564608,290,290,5,31/05/2013,987,1,1,0,0,10870
421305,548,548,4,24/01/2013,335,1,1,0,0,4153
312789,733,733,1,04/08/2014,3508,1,1,0,1,16785
548456,654,654,4,06/06/2013,716,1,1,0,0,6376
195259,272,272,6,04/05/2013,377,1,0,0,0,3534
669573,1017,1017,3,20/03/2013,1176,1,1,0,0,8545
599293,708,708,2,20/05/2014,462,1,1,0,0,5220
33900,819,819,4,08/01/2015,454,1,1,0,0,5443
74619,99,99,3,26/06/2013,372,1,0,0,0,3348
284898,982,982,2,10/12/2013,710,1,0,0,0,7667
402135,683,683,5,03/04/2015,0,0,1,b,1,0
447277,194,194,3,16/10/2013,373,1,0,0,0,4046
588164,853,853,2,30/06/2015,1201,1,1,0,0,12532
456931,53,53,1,28/04/2014,650,1,1,0,1,6257
221701,281,281,4,07/02/2013,508,1,1,0,0,5434
535271,101,101,2,02/09/2014,879,1,1,0,0,8081
171677,440,440,5,05/06/2015,769,1,1,0,1,7155
226127,994,994,2,18/03/2014,435,1,1,0,0,4815
414979,168,168,2,30/07/2013,930,1,1,0,1,11495
500051,48,48,7,27/10/2013,0,0,0,0,0,0
329177,652,652,6,15/02/2014,501,1,0,0,0,3852
541113,934,934,6,11/01/2014,474,1,0,0,0,4832
124681,223,223,6,29/03/2014,589,1,0,0,0,5586
284177,378,378,5,26/12/2014,0,0,0,c,1,0
90749,865,865,3,17/07/2013,624,1,1,0,0,8172
237894,466,466,5,31/01/2014,861,1,0,0,0,8233
506152,789,789,5,14/02/2014,546,1,0,0,0,3690
622882,61,61,7,07/06/2015,0,0,0,0,0,0
34430,765,765,4,19/12/2013,1068,1,1,0,0,13027
268594,673,673,1,23/02/2015,500,1,0,0,0,5954
368485,258,258,3,25/06/2014,444,1,0,0,0,4756
602478,740,740,3,08/10/2014,499,1,1,0,0,6889
202788,1080,1080,1,16/09/2013,764,1,0,0,0,8706
675955,918,918,5,20/06/2014,661,1,1,0,0,6692
611958,857,857,6,22/06/2013,1004,1,0,0,0,7767
597571,837,837,1,01/07/2013,482,1,1,0,0,3182
317074,516,516,7,01/03/2015,0,0,0,0,0,0
380943,446,446,2,27/05/2014,505,1,0,0,0,3579
649251,835,835,4,30/05/2013,0,0,1,a,0,0
386136,140,140,7,03/02/2013,0,0,0,0,0,0
411910,207,207,3,14/08/2013,1584,1,1,0,0,13885
119756,961,961,4,29/01/2015,668,1,1,0,0,6652
251963,772,772,2,18/03/2014,507,1,1,0,0,3569
292719,1089,1089,2,02/09/2014,1050,1,1,0,0,10923
77065,521,521,3,05/03/2014,421,1,1,0,0,6104
206967,823,823,5,17/01/2014,600,1,0,0,0,5700
521339,436,436,6,14/09/2013,426,1,0,0,0,3667
363365,483,483,7,09/03/2014,0,0,0,0,0,0
481077,215,215,2,25/03/2014,333,1,0,0,0,4045
711386,109,109,5,29/05/2015,802,1,0,0,0,7533
66970,858,858,1,16/12/2013,590,1,1,0,0,8061
435729,425,425,4,05/03/2015,501,1,1,0,0,3622
426284,357,357,5,24/07/2015,905,1,0,0,1,6754
435236,255,255,1,02/02/2015,575,1,1,0,0,5616
199039,798,798,6,07/02/2015,343,1,0,0,0,3089
99250,366,366,6,23/03/2013,304,1,0,0,0,2910
580140,534,534,2,07/04/2015,510,1,0,0,1,6126
254820,179,179,5,20/06/2014,1176,1,1,0,0,9806
155130,258,258,2,03/09/2013,464,1,0,0,1,4625
503682,693,693,5,29/08/2014,384,1,0,0,1,5094
288534,999,999,4,24/10/2013,685,1,1,0,1,9293
67050,834,834,6,19/04/2014,492,1,0,0,0,4085
174771,512,512,4,31/10/2013,1410,1,0,0,1,6426
442288,818,818,2,23/04/2013,662,1,1,0,0,6149
606734,534,534,6,12/10/2013,606,1,0,0,0,7255
431156,1084,1084,2,17/12/2013,1099,1,1,0,0,9291
424121,34,34,2,10/03/2015,861,1,0,0,0,6460
557753,101,101,4,27/03/2014,686,1,0,0,0,6023
520831,187,187,1,02/03/2015,885,1,1,0,0,8418
376589,20,20,1,23/09/2013,1041,1,1,0,0,9410
7670,828,828,7,26/10/2014,0,0,0,0,0,0
303546,434,434,1,12/08/2013,823,1,1,0,1,11721
236740,738,738,1,04/05/2015,864,1,1,0,0,11566
145734,351,351,5,07/03/2014,569,1,1,0,0,6559
134420,1020,1020,4,30/01/2014,905,1,0,0,0,6820
691699,86,86,7,11/08/2013,0,0,0,0,0,0
233889,266,266,3,17/06/2015,573,1,1,0,0,5017
653554,608,608,5,20/06/2014,1024,1,1,0,0,9738
481046,708,708,5,21/02/2014,493,1,1,0,1,4022
423103,734,734,3,05/02/2014,605,1,1,0,0,6780
693486,776,776,7,07/06/2015,0,0,0,0,0,0
90193,1060,1060,2,09/04/2013,853,1,1,0,0,7398
119482,182,182,2,29/04/2014,507,1,1,0,0,6755
525167,542,542,3,16/01/2013,431,1,0,0,0,4293
239754,602,602,1,06/05/2013,610,1,0,0,0,5379
332806,101,101,4,07/11/2013,777,1,1,0,0,6947
142056,784,784,7,30/06/2013,0,0,0,0,0,0
673000,679,679,7,17/11/2013,0,0,0,0,0,0
567353,535,535,4,14/08/2014,793,1,0,0,1,6199
696641,844,844,4,06/02/2014,516,1,1,0,0,4758
628766,595,595,7,24/05/2015,0,0,0,0,0,0
544695,25,25,6,30/03/2013,1831,1,0,0,0,13532
652921,416,416,3,03/12/2014,1819,1,1,0,0,16146
436682,539,539,4,22/01/2015,966,1,0,0,0,9134
158580,77,77,3,28/08/2013,642,1,1,0,0,6746
184394,641,641,2,09/07/2013,493,1,0,0,0,4369
523534,445,445,6,10/01/2015,1201,1,0,0,0,7822
133026,318,318,5,03/05/2013,822,1,1,0,0,8778
296285,394,394,3,13/11/2013,539,1,0,0,0,6355
14477,761,761,5,07/02/2014,1014,1,1,0,1,8926
130799,706,706,2,28/07/2015,578,1,1,0,0,7108
17306,41,41,5,28/02/2014,433,1,0,0,0,6084
617975,894,894,1,07/07/2014,958,1,0,0,1,7694
668657,169,169,6,03/05/2014,801,1,0,0,0,7440
460228,1012,1012,1,09/06/2014,0,0,0,a,0,0
26534,310,310,4,29/08/2013,868,1,1,0,0,10442
8504,1003,1003,3,22/01/2014,847,1,1,0,0,8862
253700,970,970,3,28/08/2013,429,1,1,0,0,3767
586553,239,239,5,27/09/2013,627,1,1,0,0,9380
463307,998,998,1,16/03/2015,647,1,1,0,0,5797
245670,278,278,5,14/06/2013,692,1,0,0,0,5495
291128,49,49,2,26/05/2015,539,1,0,0,1,7998
615053,603,603,3,28/08/2013,0,0,1,0,1,0
263461,658,658,2,30/04/2013,824,1,1,0,0,8228
42414,1072,1072,3,06/02/2013,786,1,1,0,0,7981
527688,1028,1028,2,22/10/2013,587,1,1,0,1,4657
697845,288,288,4,18/06/2015,489,1,1,0,0,7062
28136,111,111,1,30/03/2015,838,1,1,0,1,12758
245444,581,581,2,14/07/2015,703,1,1,0,0,7291
394116,979,979,7,12/05/2013,0,0,0,0,0,0
601504,644,644,7,22/02/2015,0,0,0,0,0,0
349857,589,589,1,03/06/2013,577,1,1,0,0,5286
658989,295,295,2,25/02/2014,619,1,0,0,0,4726
73913,388,388,1,18/02/2013,1586,1,1,0,0,17120
579219,9,9,6,04/10/2014,621,1,0,0,0,7277
628094,445,445,4,29/08/2013,1381,1,1,0,1,8447
430442,204,204,4,05/09/2013,445,1,0,0,1,4146
694123,296,296,1,06/10/2014,1011,1,1,0,0,10741
637678,497,497,7,24/05/2015,0,0,0,0,0,0
697006,481,481,1,18/02/2013,523,1,1,0,0,6378
174454,1100,1100,6,06/12/2014,569,1,0,0,0,4754
290329,588,588,6,14/12/2013,614,1,0,0,0,5650
79977,290,290,2,07/01/2014,918,1,1,0,1,10191
561228,1107,1107,4,28/05/2015,635,1,0,0,1,5377
645402,1019,1019,6,25/01/2014,820,1,0,0,0,9300
187053,945,945,5,17/01/2014,545,1,0,0,0,3868
545699,770,770,7,26/10/2014,0,0,0,0,0,0
101633,1041,1041,4,15/08/2013,0,0,1,a,1,0
281213,433,433,3,31/07/2013,898,1,1,0,1,8128
